Район_OSM,Населенный_пункт_OSM,place,lat_np,lon_np,population_osm,np_clean,osm_id
Нурлатский район,Гайтанкино,village,54.5118187,50.5171809,,гайтанкино,way/290136096
,посёлок Гайтанского отделения совхоза,hamlet,54.5499257,50.4791413,,гайтанского отделения совхоза,relation/17016832
,Галактионово,village,55.3791664,50.512077,,галактионово,way/70273224
,Галеево,hamlet,56.1684159,53.3697182,,галеево,way/118968414
,Галкино,hamlet,54.3263438,53.2088379,,галкино,way/60320121
,Гари,village,55.8707062,52.02607,,гари,way/71540717
,Гарталовка,hamlet,56.2493131,50.0583464,,гарталовка,node/1075185824
,Гарь,village,56.2445733,49.0582638,,гарь,way/55166655
,Гильдеево,village,55.7514182,49.4177831,,гильдеево,relation/19205506
,Глазово,village,54.4737765,52.3724589,,глазово,way/88107702
,Глиняный лог,locality,55.7986939,52.5540554,,глиняный лог,node/11042175987
,Глухово,locality,56.093469,49.4085211,,глухово,node/825447966
,Гоголиха,hamlet,54.9249256,50.26729,,гоголиха,way/70262121
Балтасинский район,Гондырево,village,56.3896045,50.1269536,,гондырево,node/794074261
,Горбуновка,hamlet,55.2515363,53.4409148,,горбуновка,way/191684188
Алексеевский район,Горка,village,55.022056,50.4109729,,горка,way/70262136
,Горкино,hamlet,54.6503024,52.4076398,,горкино,way/109198123
Тюлячинский район,Гороховое Поле,hamlet,55.7546184,50.4731904,,гороховое поле,node/802088436
,Горский лог,locality,55.6832937,51.5452065,,горский лог,node/11065789341
,Гортопский залив,locality,55.0076819,48.9897712,,гортопский залив,node/7680825420
,Горшенин дол,locality,55.4737972,49.0225189,,горшенин дол,node/11139673526
Новошешминский район,Горшково,village,55.2263477,51.2070185,,горшково,node/852779825
,Гранат,locality,55.5738322,52.5402689,,гранат,node/11042174458
Мамадышский район,Грахань,village,55.5819152,51.4848077,,грахань,way/71825018
,Гребени,hamlet,55.5790085,48.9670716,,гребени,way/107416237
,Гремячий Ключ,hamlet,55.9864684,48.9801281,,гремячий ключ,node/1365145886
,Гремячка,village,55.4463844,50.3459,,гремячка,way/123003723
,Гришкино,hamlet,55.8883574,51.4403916,,гришкино,way/72747390
,Грузинский,hamlet,55.8648736,48.7314053,,грузинский,way/58281851
,Губайдулловка,hamlet,55.6014782,49.9780856,,губайдулловка,way/123111440
,Губурчак,village,56.1678666,50.1003925,,губурчак,way/338397646
,Гульбакча,hamlet,55.0121135,52.515395,,гульбакча,way/148947308
,Гулькино,village,55.0793785,51.8119095,,гулькино,relation/20768403
,Гулюково,hamlet,55.8006542,52.9052853,,гулюково,way/190582951
Спасский район,Гулюши,hamlet,54.9078527,49.4148099,,гулюши,way/68734917
,Гулянье,locality,55.6146687,50.5477609,,гулянье,node/6056536357
,Гурьевка,village,56.0220618,51.361025,,гурьевка,way/72747194
Спасский район,Гусиха,village,54.8781678,49.5289768,,гусиха,way/68734779
,Давликеево,village,55.2165107,48.3666483,,давликеево,way/92672354
,Дальняя Ивановка,village,54.9378201,51.5351022,,дальняя ивановка,way/73076810
Чистопольский район,Данауровка,village,55.3612634,50.5461799,,данауровка,relation/1105477
,Данышево,hamlet,55.2296753,49.0283201,,данышево,way/58368185
,Дачное,village,55.9444453,49.2581976,,дачное,way/431229876
,Два Поля Арташ,village,55.942519,50.6568891,,два поля арташ,node/803541071
,Девичья Поляна,hamlet,54.6882748,51.2356544,,девичья поляна,way/370826489
,Девятерня,village,56.2007254,53.3949087,,девятерня,way/118968422
,Демидовка,village,55.0442724,49.8616056,,демидовка,node/847764931
,Демьяновка,locality,55.7030443,51.2236798,,демьяновка,node/8690854051
,Дербедень,village,54.946853,52.0141359,,дербедень,way/73269441
,Деребешкинский,locality,55.8660821,53.4968475,,деребешкинский,node/12093159353
,Державино,village,55.5367815,49.5684789,,державино,relation/19205383
Верхнеуслонский район,Десятидворка,hamlet,55.7597954,48.8239838,,десятидворка,way/308285821
,Детский санаторий,hamlet,55.7790977,48.7099106,,детский санаторий,node/2050758438
,Деуково,village,55.7662217,52.9072538,,деуково,node/593611557
,Деушево,village,55.1740937,48.361323,,деушево,way/218429511
Сармановский район,Джалиль,town,55.026557,52.7308492,,джалиль,relation/1558735
,Дигитли,village,55.5870488,51.0362734,,дигитли,way/71933594
,Дикое Поле,hamlet,55.5414775,50.1380897,,дикое поле,way/123003756
,Димитарлау,hamlet,55.2887761,52.5416385,,димитарлау,way/190865297
Нижнекамский район,Дмитриевка,village,55.6721144,51.7578855,,дмитриевка,way/202625200
Заинский район,Дмитровка,village,55.3489763,52.0453375,,дмитровка,way/61349709
Альметьевский район,Добромыш,hamlet,55.0683008,51.6749279,,добромыш,node/766891276
,Долгая Поляна,hamlet,55.0547604,48.9345431,,долгая поляна,way/194879724
,Долгое поле,locality,55.7059162,51.522582,,долгое поле,node/11065789340
,Дон-Урай,hamlet,55.4836496,50.2508775,,дон-урай,way/123003744
,Дружба,village,55.7181427,50.7280344,,дружба,way/847040398
,Дубовая Грива,locality,55.7636762,51.4540798,,дубовая грива,node/11065789313
,Дубовка,hamlet,54.3958271,53.147902,,дубовка,way/60415146
,Дубровка,village,55.8615373,48.8007247,,дубровка,relation/19208891
,Дубъязы,village,56.1227924,49.1958879,,дубъязы,relation/19208821
Лениногорский район,Дурасово,hamlet,54.5561783,52.4838791,,дурасово,way/62688926
Балтасинский район,Дурга,hamlet,56.594476,50.3000587,,дурга,node/793984104
Заинский район,Дурт-Мунча,village,55.4346035,52.3123623,,дурт-мунча,relation/3220455
,Дусаево,hamlet,55.9160902,51.0992254,,дусаево,way/72608533
,Дусай,hamlet,55.2635027,53.5875644,,дусай,way/192056438
Мензелинский район,Дусай-Кичу,hamlet,55.698326,53.3528566,,дусай-кичу,node/606146595
,Дусюм,hamlet,56.2988992,49.443459,,дусюм,way/121804530
Сармановский район,Дусюмово,village,55.1072721,52.633169,,дусюмово,way/60893400
Ютазинский район,Дым-Тамак,village,54.5277222,53.3587507,,дым-тамак,way/61228259
Мензелинский район,Дыреевка,hamlet,55.634625,53.220385,,дыреевка,node/606146578
,Дюсьметьево,village,55.864719,51.2547719,,дюсьметьево,way/72747719
,Дятлово,hamlet,55.4429456,49.3281734,,дятлово,way/57357875
Сабинский район,Евлаштау,village,56.1129158,50.541935,,евлаштау,node/805033387
Тукаевский район,Евлево,hamlet,55.5201258,52.2333036,,евлево,way/61165441
,Егидерево,hamlet,55.5060953,48.717772,,егидерево,way/231044708
,Егоркино,village,54.4975554,50.7111989,,егоркино,way/111193685
,Егорьево,village,55.5660989,49.488321,,егорьево,relation/20768530
Нурлатский район,Единение,hamlet,54.5461299,50.63246,,единение,way/749067821
,Екатериновка,village,55.0352873,49.5294464,,екатериновка,way/68734863
,Елабуга,town,55.7585198,52.0374146,,елабуга,relation/1716734
,Елантово,village,55.2922001,51.2023006,,елантово,way/292304512
Нурлатский район,Елаур,village,54.5683711,50.3599223,491,елаур,node/850907192
,Елга Баш,hamlet,54.8605999,52.7370253,,елга баш,way/87945012
,Елгабаш,village,55.4232247,53.3929639,,елгабаш,way/191050283
,Еленовский,hamlet,56.1767779,52.9442042,,еленовский,way/118699921
Верхнеуслонский район,Елизаветино,hamlet,55.7557043,48.7676443,,елизаветино,way/308285822
,Елховка,hamlet,54.663614,52.621686,,елховка,way/88028404
,Елхово,village,54.8909718,51.6213388,,елхово,way/73076799
,Елышево,hamlet,55.8531311,50.4991645,,елышево,node/803520841
Буинский район,Ембулатово,village,54.9353779,47.9510458,,ембулатово,node/794269776
Аксубаевский район,Емелькино,village,54.9678387,50.5551289,265,емелькино,way/290537888
,Емельяново,village,55.5051286,49.8007525,,емельяново,way/205596618
,Енабердино,village,55.9787715,52.3284727,,енабердино,way/62313606
,Еникей Чишма,village,55.6062563,50.8560334,,еникей чишма,way/71819458
,Еновка,hamlet,54.5938728,53.163405,,еновка,way/61228263
,Епанчино,village,56.1200226,49.4857719,,епанчино,way/121804518
Нурлатский район,Ерепкино,village,54.4397914,50.6771525,303,ерепкино,node/850819590
,Ермоловка,hamlet,55.9426991,49.9089448,,ермоловка,way/308023077
,Ерсубайкино,village,54.9314253,51.7481579,,ерсубайкино,way/73269452
,Ерыкла,village,54.9522855,50.2240913,,ерыкла,way/70262124
,Ерыклинский,hamlet,55.3975334,50.7078645,,ерыклинский,relation/8928934
,Ерыклы,village,55.1765434,51.4216646,,ерыклы,way/123250706
,Ефановка,hamlet,54.4713219,52.8440983,,ефановка,way/60627088
,Жилой Рудник,village,56.2085204,50.830501,,жилой рудник,way/274218067
,Жуково,village,54.8023663,48.6370965,,жуково,way/106617595
,Забанье,locality,55.6178965,50.5456686,,забанье,node/6063329398
,Заборная Поляна,hamlet,55.3824838,48.6181823,,заборная поляна,way/642782166
,Забугоровка,village,54.5008055,52.7722863,,забугоровка,relation/19672162
Альметьевский район,Завод,hamlet,55.0287487,52.3730816,,завод,way/73268978
,Завод-Нырты,village,55.9667658,50.7319825,,завод-нырты,relation/18336199
,Загорье,hamlet,54.8728258,53.3762361,,загорье,way/192215214
,Задельный лог,locality,55.7840788,52.3142338,,задельный лог,node/11359828041
Заинский район,Заинск,town,55.2633988,52.0262503,,заинск,relation/1922243
,Зай,hamlet,54.5659232,52.948994,,зай,way/187334396
Лениногорский район,Зай-Каратай,village,54.7046789,52.3797349,,зай-каратай,way/61228262
Альметьевский район,Зай-Чишма,hamlet,55.0653427,52.1335258,,зай-чишма,way/61349697
,Закостенеевка,locality,55.6817401,51.6001186,,закостенеевка,node/11065789343
,Замана-Быты,locality,56.1359375,48.9634681,,замана-быты,node/7839301942
,Зангар-Куль,hamlet,55.5728951,50.5242384,,зангар-куль,way/123003715
,Заполь,locality,56.1416105,49.3552101,,заполь,node/10540238342
Нурлатский район,Заречный,village,54.4973534,50.3717669,,заречный,node/850905118
,Заречье,hamlet,54.8628052,53.4198057,,заречье,way/192215215
Аксубаевский район,Заря,hamlet,54.9922468,50.8434384,,заря,way/295770401
Верхнеуслонский район,Захваткино,hamlet,55.7801881,48.9026164,,захваткино,node/752673280
,Заячье поле,locality,55.7606023,51.526983,,заячье поле,node/11065789331
Пестречинский район,Званка,village,55.8103593,49.3775579,,званка,node/807626623
Мамадышский район,Зверосовхоза,village,55.5468441,50.8452451,,зверосовхоза,relation/1120666
,Здоровый Ключ,hamlet,55.890564,49.6408287,,здоровый ключ,way/308021940
,Зелёная Роща,village,54.4634978,52.741934,,зеленая роща,relation/10341759
,Зеленовка,hamlet,54.9706919,48.7361429,,зеленовка,node/787006659
Зеленодольский район,Зеленодольск,town,55.8586587,48.5198893,,зеленодольск,relation/3398075
,Зиканни Куль,hamlet,55.4960377,52.4983227,,зиканни куль,way/219636658
,Зильгильде,hamlet,56.2876986,49.4288642,,зильгильде,way/121804507
,Зимняя Горка,village,55.6037869,49.4487068,,зимняя горка,relation/19205303
,Зирекле-Елга,locality,54.9248214,53.091482,,зирекле-елга,node/2027822452
,Зирекле-Каран,locality,54.4979787,53.1590577,,зирекле-каран,node/752001643
,Змеево,hamlet,55.8576647,49.6337815,,змеево,way/121240497
,Зотеевка,locality,55.2592303,50.0179326,,зотеевка,way/69413438
,Зубаирово,village,55.5773644,53.5582213,,зубаирово,way/191046399
,Зуево,hamlet,55.8818457,53.2204002,,зуево,way/119286551
Нурлатский район,Зузеево,hamlet,54.6619095,50.5259188,,зузеево,node/850886610
Заинский район,Зычебаш,village,55.4563393,52.3384961,,зычебаш,way/61326251
Рыбно-Слободский район,Зюзино,hamlet,55.5777745,49.9129091,,зюзино,node/806267415
Мамадышский район,Зюри,village,55.9433324,51.3532637,,зюри,way/72747244
Черемшанский район,Ибраево Каргали,village,54.8049709,51.4904761,,ибраево каргали,relation/18308065
,Ибря,hamlet,56.0312931,49.1971235,,ибря,way/98092269
,Иванаевка,locality,55.7689814,52.6942706,,иванаевка,node/11042174490
,Иванаево,hamlet,55.664197,50.5171449,,иванаево,way/123003742
,Ивановка,village,54.5050485,52.4402142,,ивановка,way/88107553
,Ивановский,hamlet,55.249068,49.9096456,,ивановский,way/69413481
,Ивановское,village,55.9625396,48.8603777,,ивановское,relation/19208952
,Ивашевка,hamlet,54.9125948,48.3491349,,ивашевка,way/121529700
Черемшанский район,Ивашкино,village,54.881865,51.3273481,623,ивашкино,node/853019210
,Иганя-Баш,hamlet,55.2233875,52.4528228,,иганя-баш,way/190865298
,Игенче,village,55.2845107,53.017606,,игенче,way/191556409
,Идряс-Теникеево,village,55.1553413,48.5839342,,идряс-теникеево,way/92645526
,Иж-Байки,hamlet,56.4046744,52.9641651,,иж-байки,way/118699918
,Иж-Бобья,village,56.4684672,52.9950482,,иж-бобья,way/118699936
Спасский район,Иж-Борискино,village,54.8320157,49.5612471,252,иж-борискино,way/68734817
,Ижевка,village,55.9632928,52.6207775,,ижевка,way/62313596
,Изгары,village,55.1699134,50.7830228,177,изгары,way/296088549
,Измайлово,hamlet,54.1759684,53.3045703,,измайлово,way/60320294
,Измери,village,55.1393264,49.5386517,,измери,way/68734859
,Измя,village,56.1055013,50.3935683,,измя,way/776281289
Ютазинский район,Ик,hamlet,54.6089663,53.2536438,,ик,way/61228267
,Икское Устье,village,55.9132326,52.5719673,65,икское устье,way/62313586
,Иксуар,hamlet,55.6687216,49.9008333,,иксуар,way/120450628
,Илебер,hamlet,56.0948911,50.4169625,,илебер,way/791753242
Тукаевский район,Ильбухтино,village,55.7793234,52.5828674,,ильбухтино,way/61326226
,Ильбяково,village,55.032908,52.8542993,,ильбяково,way/191556410
,Ильдус,hamlet,56.3776125,49.8129507,,ильдус,way/204203234
Нижнекамский район,Ильинка,village,55.6450603,51.7246467,,ильинка,way/202625184
,Ильино,hamlet,55.9739337,49.3073253,,ильино,relation/19208669
,Ильинский,village,55.7085557,49.4598627,,ильинский,way/120338339
,Ильинское,village,55.8845118,48.6650783,,ильинское,relation/19208815
Тукаевский район,Ильичевский,village,55.8508578,52.4151583,,ильичевский,relation/8336730
,Илькино,hamlet,55.9376705,52.2191706,,илькино,relation/8081732
,Ильнеть,village,56.0161325,52.2395288,,ильнеть,way/62313538
,Ильтень-Бута,village,54.9537054,51.9048516,,ильтень-бута,way/73269551
Актанышский район,Ильчебаево,hamlet,55.7462391,53.9658538,,ильчебаево,node/606106758
Нурлатский район,Илюткино,village,54.4151257,50.5758723,319,илюткино,node/850787783
,Иляксаз,village,55.2376582,52.5222198,,иляксаз,way/249986256
Аксубаевский район,Иляшкино,hamlet,54.9361279,50.9229356,,иляшкино,way/296088525
Нурлатский район,имени III Съезда,hamlet,54.6228702,51.0434779,,имени iii съезда,node/850875602
,имени Карла Либкнехта,hamlet,55.276857,53.5059076,,имени карла либкнехта,node/781494496
,имени Кирова,village,55.7526397,48.9332474,,имени кирова,relation/3869600
,имени Ленина,locality,55.6444921,52.5358057,,имени ленина,node/11042174487
,имени Мичурина,village,54.5577142,51.8347601,,имени мичурина,node/779202471
,имени Мулланура Вахитова,village,55.5962567,48.8747038,,имени мулланура вахитова,way/58474270
Нурлатский район,имени Нариманова,village,54.7768996,50.2590027,,имени нариманова,way/363278351
,имени ТатЦИКа,hamlet,55.7039625,49.6347002,,имени татцика,way/120338390
Аксубаевский район,имени Третьего Интернационала,hamlet,54.69592,50.595268,,имени третьего интернационала,way/187334395
,Именьково,village,55.4239798,49.7244747,,именьково,way/160729123
,Имянле-Буртас,hamlet,55.4444834,48.4615819,,имянле-буртас,relation/19218477
,Имянлебаш,village,55.3485527,51.8251428,,имянлебаш,way/61571088
Аксубаевский район,Индустриальный,hamlet,54.872067,50.6364227,,индустриальный,way/290556246
,Инеш,hamlet,55.8925736,49.3694665,,инеш,relation/19208672
,Иннополис,town,55.7527299,48.7283096,,иннополис,relation/5293421
,Инся,village,56.0653292,49.3113131,,инся,relation/19208824
Тетюшский район,Иоково,village,54.8084759,48.6774347,,иоково,node/787101267
,Ирек-Тан,hamlet,55.5267509,52.5921979,,ирек-тан,way/190862031
Альметьевский район,Ирекле,hamlet,55.0460037,52.5365374,,ирекле,way/148947309
Бугульминский район,Иркен,village,54.6817052,52.5350653,,иркен,way/61228265
Актанышский район,Ирмяшево,hamlet,55.7340581,54.0481723,,ирмяшево,node/606106760
Заинский район,Ирня,hamlet,55.1839434,52.2223677,,ирня,way/61571026
,Исаево,hamlet,55.5778062,48.7282502,,исаево,way/231073546
,Исаково,village,55.0855461,47.9333769,,исаково,way/113603503
Мензелинский район,Исангулово,hamlet,55.586233,52.8377903,,исангулово,node/593611230
,Исансупово,village,55.4707909,53.5612898,,исансупово,way/191046400
,Исенбаево,village,56.0478516,53.421035,,исенбаево,way/118968364
,Исергапово,village,54.3304551,53.38331,1038,исергапово,way/60320191
,Иске-Мунча,hamlet,55.5031359,52.9470084,,иске-мунча,node/593610772
Спасский район,Иске-Рязап,village,54.5950237,49.6704912,,иске-рязап,way/68734920
Кукморский район,Иске-Юрт,hamlet,56.2302435,50.7569705,,иске-юрт,way/369036713
,Ислейтар,village,56.3269367,49.1574884,,ислейтар,way/121804525
,Исляйкино,village,55.2903726,50.9729206,,исляйкино,node/826511618
,Исметьево,hamlet,54.6282818,53.516091,,исметьево,node/783928788
,Историческая набережная,locality,54.9886393,49.0658269,,историческая набережная,node/10694940692
Чистопольский район,Ишалькино,village,55.0614363,50.7411504,,ишалькино,way/70467654
,Ишеево,hamlet,55.16713,48.631641,,ишеево,node/761236856
,Ишимово,hamlet,55.1513415,49.0583861,,ишимово,way/58474366
,Ишкеево,village,55.8300344,50.9626472,,ишкеево,way/72524267
Арский район,Ишнарат,hamlet,56.4117224,49.9328186,,ишнарат,node/762075475
Тукаевский район,Иштеряково,village,55.5328013,51.951321,,иштеряково,way/288056284
,Иштиряк,hamlet,55.0725321,52.3399218,,иштиряк,way/73269008
,Иштуган,village,56.1633852,50.5219633,,иштуган,node/805037471
,Городище,village,55.2944681,51.1539451,,ище,way/292311946
Спасский район,Йолдыз,hamlet,54.6653327,49.6213171,,йолдыз,relation/20310966
,Кабаланы,hamlet,55.1402078,48.2287172,,кабаланы,way/187753876
Заинский район,Кабан-Бастрык,hamlet,55.4167735,52.324048,,кабан-бастрык,way/561942631
Апастовский район,Кабы Копри,village,55.3380472,48.5641508,,кабы копри,node/761036564
,Кавзияково,village,55.278698,52.8166836,,кавзияково,way/172611690
,Кадрали,hamlet,56.3354247,52.7890427,,кадрали,node/778696361
,Кадряково,village,56.1383201,53.1413505,,кадряково,relation/8081869
,Кадыбаш,village,56.1572754,53.4214438,,кадыбаш,way/118968387
Заинский район,Кадыково,hamlet,55.2254078,52.3139156,,кадыково,way/61571085
Заинский район,Кадырово,village,55.4512364,52.1058677,,кадырово,way/561944663
,Кадышево,village,54.7178716,48.585282,,кадышево,way/100968431
,Каен-Саз,hamlet,55.4290061,53.2378615,,каен-саз,node/2783044590
Нижнекамский район,Каенлы,village,55.4881876,51.7229998,,каенлы,way/241497671
Актанышский район,Каенлык,hamlet,55.6302668,53.8285632,,каенлык,relation/8081914
,Каенсар,village,56.3077531,49.328459,,каенсар,way/121804516
,Казак,locality,56.2124859,49.085809,,казак,node/7839301937
,Казаклар,village,56.2459065,49.2048843,,казаклар,node/750475636
Арский район,Казанбаш,village,56.1533956,49.9773648,,казанбаш,node/762197034
Черемшанский район,Казанка,village,54.6674029,51.3558439,,казанка,node/853013858
Сабинский район,Казанче-Бигеней,hamlet,55.8941381,50.4347593,,казанче-бигеней,node/805054881
,Казань,city,55.7669373,49.1009157,1257341,казань,relation/3437391
,Казиле,hamlet,55.5587,52.5619321,,казиле,way/190583319
,Казкеево,village,55.6617094,54.1874984,,казкеево,way/176276426
,Казыли,hamlet,55.7033426,51.6309931,,казыли,way/71436561
Арский район,Казылино,hamlet,56.1287202,49.9554779,,казылино,node/762197031
,Казыльяры,hamlet,55.5065845,48.8229583,,казыльяры,way/230957347
,Каинки,hamlet,55.6544583,48.5277933,,каинки,relation/19218599
,Каипы,village,55.5827953,49.4964378,,каипы,relation/19205302
,Кайбицы,village,55.0083273,48.1867617,,кайбицы,way/121529680
,Каймары,village,55.9699825,49.183708,,каймары,node/704311006
Буинский район,Кайрево,village,54.9398858,48.0892235,,кайрево,way/549143239
,Каклы-Куль,hamlet,54.6478883,53.4589993,,каклы-куль,way/363264776
,Какре-Елга,village,54.9449655,52.9210932,,какре-елга,way/174870147
,Калатау,hamlet,55.9359511,50.5429297,,калатау,way/791205486
Альметьевский район,Калейкино,village,54.9303324,52.1884511,,калейкино,way/61349699
Тукаевский район,Калинино,hamlet,55.5539838,52.1618653,,калинино,way/43513622
Тукаевский район,Калиновка,hamlet,55.5872532,52.4349835,,калиновка,way/61165466
,Калмаш,village,55.7400594,52.6281553,,калмаш,relation/19212066
,Калмашево,hamlet,55.7543489,53.7346029,,калмашево,way/547463214
,Калмия,village,55.8084733,52.7580052,,калмия,way/190578441
,Калмурзино,hamlet,55.5810131,53.3611106,,калмурзино,node/5343895157
,Калтаково,hamlet,55.4406604,53.3378184,,калтаково,way/191050284
Тукаевский район,Кама,hamlet,55.660157,52.239454,,кама,node/546355202
,Кама-Елга,hamlet,54.8274049,52.6368098,,кама-елга,way/73269110
Альметьевский район,Кама-Исмагилово,village,54.9000955,52.5509644,,кама-исмагилово,way/37953130
,Камаево,village,56.0052714,52.3330557,,камаево,way/62313593
,Каменка,hamlet,55.0057078,52.3267716,,каменка,way/123128135
,Каменный Брод,village,55.1510134,48.1759286,,каменный брод,way/59151530
,Каменный Ключ,hamlet,55.9818473,53.2252017,,каменный ключ,way/119286592
,Каменный Починок,hamlet,55.7073355,51.3223623,,каменный починок,relation/1117472
Нижнекамский район,Камские Поляны,town,55.4362065,51.3937902,,камские поляны,relation/3314550
,Камский,village,55.4869862,50.6557933,,камский,way/123003739
,Камский леспромхоз,village,55.543549,50.831417,,камский леспромхоз,node/798188333
,Камское Устье,town,55.1883761,49.2671639,,камское устье,relation/19218327
,Камылово,hamlet,55.3423631,47.6731717,,камылово,way/120061679
,Камыш,hamlet,55.7338736,49.4894769,,камыш,way/120450626
,Камышинка,hamlet,55.2321407,51.9134275,,камышинка,way/61509455
Азнакаевский район,Камышлы,village,55.0613901,53.0199559,,камышлы,way/321544059
,Камышлы-Куль,hamlet,54.777439,53.0725758,,камышлы-куль,way/192215216
Буинский район,Канава,hamlet,54.790127,48.330795,,канава,node/795827043
,Канаш,village,55.3623182,48.7292054,,канаш,way/292614014
,Канонерка,hamlet,55.6651566,52.9441727,,канонерка,way/190716896
Заинский район,Кара-Елга,village,55.1279719,52.0168206,,кара-елга,way/61349694
,Кара-Куль,hamlet,56.1254948,48.9808544,,кара-куль,way/56061227
,Кара-Ширма,hamlet,55.8792266,50.2984391,,кара-ширма,node/802079049
,Карабаево,hamlet,55.1374439,48.6140501,,карабаево,way/92645391
Бугульминский район,Карабаш,town,54.6951056,52.5735537,,карабаш,way/61228270
,Карабаян,hamlet,55.7315744,50.3502309,,карабаян,way/274105445
,Караваево,village,55.0921323,49.8402557,,караваево,way/69413492
,Карагай,hamlet,54.3763691,52.0826514,,карагай,node/779202595
,Карадуван,village,56.3412484,50.0969307,,карадуван,way/301568063
,Карадули,village,55.509029,49.3136286,,карадули,way/706063392
,Караишево,village,55.5256029,49.3238121,,караишево,way/336901030
,Каракашлы,village,54.6730968,53.2362561,,каракашлы,way/60320256
,Каракирез,locality,54.5585713,49.5904883,,каракирез,node/10655772877
Алькеевский район,Каракули,village,54.5644077,49.9886583,274,каракули,node/847669937
,Карамалы,village,54.7843855,53.1842124,,карамалы,way/109572913
,Карамалы-Елга,hamlet,54.7502835,53.0584465,,карамалы-елга,way/88028520
,Карамасары,village,55.4049313,48.4552914,,карамасары,way/121211587
,Карамышево,village,54.9014813,51.4371191,,карамышево,way/350570794
,Карамышиха,hamlet,55.5819889,48.4803425,,карамышиха,way/227473989
Мензелинский район,Каран-Азиково,hamlet,55.5257089,53.00831,,каран-азиково,node/593610780
Аксубаевский район,Караса,village,54.7383326,50.6769221,,караса,way/290556249
,Карасье Озеро,locality,55.0432086,50.7432112,,карасье озеро,way/70467695
,Каратаевка,hamlet,55.4048778,51.1949433,,каратаевка,node/826511732
,Каратай,hamlet,56.391642,49.960268,,каратай,way/204203246
,Караталга,village,55.2839118,48.8327908,,караталга,way/58478243
,Каратмень,village,56.0190576,48.7652189,,каратмень,way/51799297
,Каратун,village,55.2376616,48.4017198,,каратун,relation/19218480
,Каратунского хлебоприемного пункта,hamlet,55.234978,48.4225615,,каратунского хлебоприемного пункта,way/92672398
,Караульная Гора,village,54.5348566,50.682284,,караульная гора,way/111193694
Сармановский район,Карашай-Саклово,village,55.4718475,52.8343935,,карашай-саклово,way/321462329
,Карашам,hamlet,55.546906,48.2733799,,карашам,way/120532200
Кайбицкий район,Каргала,hamlet,55.2840189,48.0342364,,каргала,way/185260179
,Каргали,village,55.2126064,50.9025905,,каргали,relation/6525836
Алькеевский район,Каргополь,village,54.9977248,49.9215154,,каргополь,node/847764929
,Карек-Серма,hamlet,56.4684924,50.3130125,,карек-серма,way/340191225
,Карелино,village,56.3449305,50.2636905,,карелино,relation/18336303
,Каркале,hamlet,54.601823,53.2163077,,каркале,way/61228255
,Каркали,village,54.5052154,52.1876202,,каркали,way/329668519
,Каркаусь,village,56.1066529,51.1417661,,каркаусь,way/264168482
Заинский район,Кармалка,hamlet,55.257078,51.9053105,,кармалка,way/119419925
,Кармалы,village,55.3051176,51.1740196,,кармалы,way/292313376
,Карманково,hamlet,55.9475287,52.2884949,,карманково,node/775958768
Заинский район,Карманово,village,55.4683263,52.0538784,,карманово,way/61326268
,Карповка,village,55.6692756,49.5324614,,карповка,relation/19205549
,Картапа,hamlet,55.2894439,48.754862,,картапа,way/58474384
,Картово,hamlet,55.7757226,53.6729921,,картово,way/435701244
,Касаево,hamlet,56.1840284,53.4416976,,касаево,way/118968373
Альметьевский район,Каськи,hamlet,55.0738827,52.4323423,,каськи,way/73269435
Сармановский район,Каташ-Каран,hamlet,55.2965273,52.6352512,,каташ-каран,way/251220039
,Катимово,hamlet,54.9731572,52.9307496,,катимово,way/191556412
,Катмыш,village,55.6361776,50.8388872,,катмыш,way/71586510
,Катюшино,hamlet,54.7454333,49.693501,,катюшино,node/13799881046
,Качелино,village,56.0602417,49.8062568,,качелино,way/56740618
,Качимир,hamlet,56.1884836,50.9623278,,качимир,way/186560264
,Качкиново,village,55.5438817,53.5723695,,качкиново,way/191046401
,Кашаево,hamlet,55.5063079,51.8457089,,кашаево,way/241495046
Тетюшский район,Кашка,village,54.8550453,48.8472078,83,кашка,node/786999477
,Кашкара,village,56.0647699,50.8098151,,кашкара,way/285214015
,Каюки,village,55.1361517,49.6958651,,каюки,way/68734927
Мамадышский район,Кемеш-Куль,village,55.9593375,51.1327486,,кемеш-куль,way/72747472
Заинский район,Керекес,village,55.5082771,51.9935973,,керекес,way/61492311
,Керлигач,village,54.7004561,51.8871982,,керлигач,way/329938790
,Керосиново,hamlet,56.0299414,49.4330596,,керосиново,way/182748731
,Кечкена-Бармак,locality,56.1313578,49.2874896,,кечкена-бармак,node/10540214997
,Кзыл Кеч,hamlet,54.8997698,51.5775066,,кзыл кеч,way/73076772
Аксубаевский район,Кзыл Тау,hamlet,54.7629685,51.0703791,,кзыл тау,way/295145074
,Кзыл Юл,hamlet,54.8478913,50.5651169,,кзыл юл,way/297159637
,Кзыл Яр,hamlet,55.4084195,51.6416836,,кзыл яр,node/705268019
,Кзыл Яшьляр,hamlet,55.7321859,49.7374994,,кзыл яшьляр,way/120450597
,Кзыл-Байрак,village,55.5081393,49.0296999,,кзыл-байрак,way/57362732
,Кзыл-Болгар,hamlet,55.2471654,50.6613548,,кзыл-болгар,way/350628187
,Кзыл-Булгар,hamlet,56.0327441,49.7020197,,кзыл-булгар,way/777706534
